,lat,lng,Temp,Humidity,Cloudiness,Wind_Speed,City,Country
551,-6.2167,155.6333,82.8,69.0,85.0,2.21,kieta,pg
552,36.2946,-76.2511,64.67,55.0,75.0,12.66,elizabeth city,us
557,27.4833,94.5833,71.65,45.0,1.0,4.43,dhemaji,in
571,18.4726,120.5763,73.4,83.0,75.0,3.44,davila,ph
572,31.3525,27.2453,64.4,82.0,40.0,9.22,marsa matruh,eg
576,49.2833,120.7333,44.22,46.0,99.0,6.2,yakeshi,cn
577,-6.9811,-34.8339,78.8,89.0,0.0,9.22,cabedelo,br
579,-21.6667,45.1667,71.76,76.0,50.0,4.23,beroroha,mg
585,-7.8447,-79.1469,66.2,82.0,0.0,14.97,chicama,pe
590,15.85,-97.0667,87.8,70.0,40.0,4.61,puerto escondido,mx
592,47.6666,-52.7314,48.76,43.0,20.0,23.02,torbay,ca
593,41.3888,2.159,61.05,67.0,0.0,14.97,barcelona,ve
596,67.6803,53.1512,36.81,91.0,100.0,7.27,iskateley,ru
599,39.1502,-123.2078,54.07,62.0,75.0,9.22,ukiah,us
607,66.0,111.5,4.03,95.0,100.0,24.45,aykhal,ru
610,-0.9131,122.8766,75.2,81.0,88.0,5.12,biak,id
611,62.8833,152.4333,9.36,87.0,97.0,3.53,seymchan,ru
616,-12.7336,45.2042,80.6,78.0,75.0,6.91,koungou,yt
617,30.6833,75.2833,76.64,18.0,0.0,4.05,badhni kalan,in
618,65.9702,-18.5286,37.4,93.0,90.0,13.8,dalvik,is
619,-7.05,113.9333,80.4,77.0,22.0,10.07,kalianget,id
621,-20.4597,-66.825,46.99,14.0,0.0,8.37,uyuni,bo
622,-5.4,-80.75,83.48,48.0,62.0,15.99,la union,es
623,41.9333,25.9,38.35,87.0,1.0,4.61,harmanli,bg
625,22.4833,92.9667,65.98,34.0,0.0,4.05,saiha,in
629,24.5557,-81.7826,85.21,70.0,40.0,11.5,key west,us
631,-17.0,145.4333,73.45,94.0,90.0,11.5,mareeba,au
635,-23.865,35.3833,71.08,91.0,5.0,2.82,inhambane,mz
639,50.6336,-96.9907,42.8,61.0,100.0,23.02,gimli,ca
642,-41.45,147.1667,48.16,87.0,81.0,8.05,launceston,au
645,-8.9266,125.4092,54.93,82.0,21.0,1.81,airai,pw
